Application_ID,Applicant_ID,Loan_Type,Requested_Loan_Amount,Loan_Tenure_Months,Interest_Rate_Offered,Purpose_of_Loan,Application_Date,Application_Source,Processing_Branch,Full_Name,Date_of_Birth,Age,Gender,Marital_Status,Number_of_Dependents,Education_Level,Contact_Information,Identity_Verification,Employment_Status,Employer_Name,Industry_Sector,Job_Title,Years_in_Current_Job,Total_Work_Experience,Monthly_Gross_Income,Net_Monthly_Income,Additional_Income_Sources,Income_Stability_Score,Employer_Credit_Rating,Existing_EMI_Amount,Credit_Card_Outstanding,Other_Loan_Balances,Total_Monthly_Obligations,Debt_to_Income_Ratio,Free_Cash_Flow,Savings_Account_Balance,Investment_Portfolio_Value,Fixed_Deposit_Amount,Credit_Score,Credit_History_Length,Number_of_Credit_Accounts,Active_Credit_Cards,Credit_Utilization_Ratio,Payment_History_Score,Number_of_Late_Payments,Previous_Defaults,Bankruptcy_History,Credit_Inquiries_Last_12_Months,Credit_Mix_Score,Collateral_Type,Collateral_Value,Loan_to_Value_Ratio,Property_Location,Property_Age,Market_Valuation_Date,Insurance_Coverage,Legal_Clear_Title,Third_Party_Guarantors,Customer_Since,Account_Types,Average_Monthly_Balance,Transaction_Volume,Cross_Sell_Products,Customer_Segment,Relationship_Manager_ID,Previous_Loan_History,Repayment_Track_Record,Utility_Payment_History,Mobile_Phone_Bill_Payments,Social_Media_Risk_Indicators,Geolocation_Risk_Score,Device_Fingerprint_Data,Alternative_Credit_Score,Psychometric_Assessment_Score,Digital_Footprint_Analysis,KYC_Compliance_Status,AML_Check_Result,Sanctions_List_Screening,PEP_Check,FATCA_Compliance,Regulatory_Limit_Check,Sector_Exposure_Limit,Single_Borrower_Limit,Risk_Grade,Automated_Decision,Default_12m,Period,DTI,LTV,Utilization_Bucket,Late_Pay_Bucket,Inq_Bucket,Income_Stability,Geolocation_Risk_Bucket,Tenure_Months,Tenure_Bucket,Avg_Balance_Bucket,Points_DTI,Points_Utilization,Points_LatePay,Points_Inquiry,Points_IncomeStability,Points_LTV,Points_Tenure,Total_Points,Total_Score,PD_hat,Grade,Risk_Profile
5001,1001,Personal,142428,24,8.25,Medical,2023-01-20,Branch,Branch A,Applicant 0,1974-07-30,50,Female,Married,1,PhD,user0@mail.com,ID0000,Salaried,Company 0,Retail,Analyst,13,15,4698,12098,4789,0.93,BBB,2987,4421,9463,5010,0.43,5554,49848,128810,45508,818,18,2,3,0.77,0.87,3,False,False,3,0.33,Fixed Deposit,217269,0.76,City B,6,2023-08-11,No,Yes,Unknown,2011-11-25,Savings,61544,1549,Unknown,Basic,RM000,Average,On-Time,Poor,Late,High,0.29,Device_0000,470,0.61,Moderate,Non-Compliant,Clear,Passed,Yes,No,Fail,Exceeded,Exceeded,Near-Prime,Approve,0,Train,0.4141180360390147,0.65553760545683,50-80%,2-3,2-3,High,Low,135.8,>24,Medium,25,35,35,10,0,15,0,120,480,0.045,Sub-prime,Sub-prime | PD_hat: 0.045
5002,1002,Personal,269204,24,13.19,Business Expansion,2023-10-25,Branch,Branch A,Applicant 1,1974-08-02,49,Other,Divorced,1,PhD,user1@mail.com,ID0001,Self-Employed,Company 1,Finance,Analyst,13,28,6056,12729,3576,0.59,A,4350,902,24949,9694,0.3,6869,45842,100305,33583,623,18,2,3,0.81,0.65,3,True,True,0,0.93,Property,589786,0.54,City A,26,2023-10-12,Yes,Yes,Guarantor B,2014-04-07,Current,70932,384,Investments,Basic,RM001,Unknown,Delayed,Average,Late,Low,0.27,Device_0001,689,0.79,Strong,Pending,Clear,Flagged,No,No,Pass,Exceeded,Within Limit,Prime,Manual Review,0,Validation,0.7615680729043915,0.4564435235831302,>80%,2-3,0-1,High,Low,116.26666666666667,>24,Medium,45,55,35,0,0,0,0,135,465,0.045,Sub-prime,Sub-prime | PD_hat: 0.045
5003,1003,Business,318699,180,11.95,Business Expansion,2023-10-11,Branch,Branch C,Applicant 2,1984-12-09,57,Other,Divorced,4,High School,user2@mail.com,ID0002,Business Owner,Company 2,Finance,Analyst,10,24,9831,10179,4108,0.59,A,3429,4216,16846,1674,0.36,5034,26072,12578,47639,732,17,6,1,0.72,0.78,3,True,True,3,0.6,Vehicle,37883,0.72,City A,5,2023-07-12,No,Yes,Guarantor A,2015-06-10,FD,38314,2671,Investments,Regular,RM002,Good,Delayed,Good,On-Time,Medium,0.87,Device_0002,846,0.96,Strong,Non-Compliant,Flagged,Flagged,Yes,Yes,Fail,Within Limit,Exceeded,Prime,Approve,0,Validation,0.16445623342175067,1.2,50-80%,2-3,2-3,High,Very High,101.5,>24,Medium,0,35,35,10,0,60,0,140,460,0.045,Sub-prime,Sub-prime | PD_hat: 0.045
5004,1004,Home,68819,12,12.19,Education,2024-07-31,Agent,Branch A,Applicant 3,1971-12-07,28,Male,Divorced,2,Bachelor's,user3@mail.com,ID0003,Business Owner,Company 3,Healthcare,Developer,11,3,14805,8388,3661,0.8,AAA,634,2380,2936,4480,0.41,1480,64548,85727,7124,794,23,1,0,0.59,0.76,0,False,False,3,1.0,Securities,43267,0.65,City C,17,2022-03-17,No,No,Unknown,2015-07-16,"Savings,FD",67165,5479,Investments,Basic,RM003,Poor,On-Time,Poor,On-Time,Low,0.42,Device_0003,797,0.38,Strong,Compliant,Flagged,Passed,No,Yes,Fail,Exceeded,Within Limit,Sub-Prime,Approve,0,OOT,0.5340963280877444,1.2,50-80%,0,2-3,High,Medium,110.1,>24,Medium,45,35,0,10,0,60,0,150,450,0.045,Sub-prime,Sub-prime | PD_hat: 0.045
5005,1005,Personal,413906,120,12.81,Medical,2023-05-04,Online,Branch C,Applicant 4,1976-05-31,50,Other,Divorced,1,PhD,user4@mail.com,ID0004,Salaried,Company 4,Retail,Analyst,14,4,5693,12287,1294,0.89,A,4669,6699,20790,13976,0.35,2493,71587,131311,38746,728,6,9,4,0.31,0.99,1,True,True,0,0.32,Property,471109,0.31,City A,26,2023-01-15,No,Yes,Guarantor B,2012-12-23,Current,24204,2470,Unknown,Premium,RM004,Good,On-Time,Good,On-Time,High,0.22,Device_0004,819,0.83,Strong,Pending,Flagged,Flagged,No,No,Fail,Exceeded,Exceeded,Sub-Prime,Manual Review,1,Train,1.13746235859038,0.8785779936278016,30-50%,1,0-1,High,Low,126.13333333333334,>24,Low,45,20,15,0,0,35,0,115,485,0.045,Sub-prime,Sub-prime | PD_hat: 0.045
5006,1006,Personal,236409,24,7.62,Education,2024-06-18,Agent,Branch A,Applicant 5,1981-11-02,28,Other,Divorced,2,High School,user5@mail.com,ID0005,Business Owner,Company 5,Healthcare,Manager,3,20,6209,4227,862,0.56,A,4000,5331,29605,4532,0.3,3687,99532,48452,39899,659,24,1,3,0.74,0.78,1,False,True,1,0.64,Securities,68723,0.74,City A,23,2023-01-11,No,No,Guarantor A,2018-11-24,Current,10541,1699,Unknown,Regular,RM005,Poor,Defaulted,Good,Late,Low,0.7,Device_0005,410,0.43,Weak,Pending,Flagged,Flagged,Yes,Yes,Fail,Within Limit,Within Limit,Prime,Manual Review,1,OOT,1.072155192808138,1.2,50-80%,1,0-1,High,High,67.76666666666667,>24,Low,45,35,15,0,0,60,0,155,445,0.09,High-risk,High-risk | PD_hat: 0.09
5007,1007,Home,325956,12,11.05,Medical,2023-08-16,Agent,Branch C,Applicant 6,1970-04-03,51,Other,Married,2,PhD,user6@mail.com,ID0006,Business Owner,Company 6,Finance,Manager,1,26,11935,3012,2826,0.87,AAA,3846,517,17644,5910,0.29,3610,21214,139980,6835,660,4,5,1,1.0,0.86,0,True,False,2,0.46,Vehicle,762101,0.88,City B,18,2025-06-21,No,Yes,Guarantor A,2018-06-25,Savings,61059,2289,Insurance,Premium,RM006,Good,Defaulted,Poor,On-Time,High,0.4,Device_0006,494,0.43,Strong,Compliant,Flagged,Passed,Yes,Yes,Fail,Within Limit,Exceeded,Near-Prime,Approve,1,Validation,1.5,0.42770708869296853,>80%,0,2-3,Medium,Low,62.6,>24,Medium,45,55,0,10,10,0,0,120,480,0.045,Sub-prime,Sub-prime | PD_hat: 0.045
5008,1008,Personal,136144,60,11.25,Education,2024-04-06,Online,Branch A,Applicant 7,1982-11-25,52,Other,Married,2,Bachelor's,user7@mail.com,ID0007,Salaried,Company 7,IT,Consultant,10,12,13098,5209,2138,0.69,BB,1491,7455,7400,2544,0.34,2922,7891,79714,24472,676,6,2,4,0.67,0.7,4,True,True,3,0.44,Property,734950,0.88,City A,12,2023-04-25,Yes,Yes,Guarantor B,2015-10-25,Savings,25713,7019,Investments,Regular,RM007,Unknown,On-Time,Poor,Late,High,0.97,Device_0007,795,0.4,Moderate,Non-Compliant,Flagged,Passed,No,Yes,Fail,Exceeded,Within Limit,Sub-Prime,Approve,0,OOT,0.4883854866577078,0.18524253350568065,50-80%,>3,2-3,High,Very High,102.86666666666666,>24,Medium,25,35,60,10,0,0,0,130,470,0.045,Sub-prime,Sub-prime | PD_hat: 0.045
5009,1009,Business,369302,12,13.03,Home Purchase,2024-12-02,Agent,Branch C,Applicant 8,1994-01-22,31,Male,Divorced,3,PhD,user8@mail.com,ID0008,Salaried,Company 8,IT,Analyst,3,26,12443,12790,1234,0.68,BB,4254,8776,14064,12699,0.22,9801,15311,74078,13534,773,8,8,4,0.45,0.78,0,False,False,2,0.95,Property,763746,0.89,City A,11,2022-02-25,Yes,No,Guarantor B,2015-06-20,"Savings,FD",64060,5710,Investments,Basic,RM008,Average,On-Time,Poor,On-Time,Low,0.46,Device_0008,563,0.81,Strong,Pending,Clear,Passed,Yes,Yes,Pass,Within Limit,Within Limit,Near-Prime,Approve,0,OOT,0.9928850664581704,0.48354033932747276,30-50%,0,2-3,High,Medium,115.1,>24,Medium,45,20,0,10,0,0,0,75,525,0.02,Near-prime,Near-prime | PD_hat: 0.02
5010,1010,Auto,111703,36,10.31,Education,2023-02-27,Branch,Branch B,Applicant 9,1987-05-30,32,Female,Single,0,Master's,user9@mail.com,ID0009,Business Owner,Company 9,Healthcare,Analyst,14,28,9447,13654,4670,0.52,AA,3765,4080,23690,5328,0.28,7847,66667,68104,16855,631,4,4,4,0.75,0.71,0,True,True,3,0.6,Property,928823,0.42,City B,17,2023-12-19,No,No,Unknown,2015-01-21,FD,28872,4837,Investments,Premium,RM009,Good,Delayed,Good,On-Time,High,0.23,Device_0009,566,0.96,Strong,Compliant,Flagged,Flagged,No,No,Fail,Within Limit,Exceeded,Sub-Prime,Manual Review,0,Train,0.39021532151750404,0.1202629564513368,50-80%,0,2-3,High,Low,98.63333333333334,>24,Medium,25,35,0,10,0,0,0,70,530,0.02,Near-prime,Near-prime | PD_hat: 0.02
